prof,Gender,Age,Tenure,Evaluation,Students,Beauty,CourseLevel
Prof52,Male,32,Yes,4.27,51,3.53,Lower
Prof93,Male,30,Yes,4.97,31,4.67,Upper
Prof15,Male,42,No,3.13,63,4.68,Lower
Prof72,Female,42,No,4.98,98,3.54,Upper
Prof61,Female,44,Yes,3.39,86,4.01,Lower
Prof21,Male,31,Yes,3.42,31,3.69,Upper
Prof83,Female,37,No,4.36,52,3.47,Lower
Prof87,Male,32,No,3.6,75,4.87,Upper
Prof75,Female,35,No,3.05,73,3.65,Lower
Prof75,Male,39,Yes,4.79,64,3.44,Lower
Prof88,Female,47,Yes,3.11,83,2.92,Upper
Prof100,Male,49,Yes,3.36,46,2.7,Lower
Prof24,Female,56,No,4.84,59,3.82,Upper
Prof3,Male,32,Yes,4.34,30,3.08,Lower
Prof22,Female,58,Yes,3.2,67,3.98,Lower
Prof53,Female,46,Yes,3.91,65,4.41,Upper
Prof2,Female,56,No,4.83,34,3.9,Upper
Prof88,Male,38,No,3.24,50,2.83,Lower
Prof30,Female,31,No,4.95,85,4.33,Upper
Prof38,Male,49,No,3.76,94,3.48,Upper
Prof2,Male,44,Yes,4.55,76,2.71,Upper
Prof64,Male,44,Yes,4.67,38,3.46,Upper
Prof60,Female,30,No,4.16,90,3.88,Upper
Prof21,Female,37,Yes,4.7,47,3.25,Lower
Prof33,Male,38,Yes,3.87,97,2.77,Upper
Prof76,Male,51,Yes,4.08,82,3.78,Upper
Prof58,Male,31,Yes,4.73,77,4.85,Upper
Prof22,Male,49,Yes,4.58,50,3.54,Upper
Prof89,Female,50,Yes,4.86,74,4.85,Upper
Prof49,Male,40,No,3.83,34,4.02,Upper
Prof91,Female,59,Yes,4.58,63,4.88,Lower
Prof59,Female,42,No,3.52,41,2.99,Upper
Prof42,Male,42,No,4.45,70,4.22,Upper
Prof92,Male,47,No,4.04,51,2.51,Lower
Prof60,Male,39,No,4.66,36,4.84,Upper
Prof80,Male,32,Yes,3.78,48,4.15,Upper
Prof15,Male,51,Yes,3.26,54,3.98,Upper
Prof62,Male,30,Yes,3.11,40,2.67,Lower
Prof62,Male,30,No,3.1,52,4.74,Lower
Prof47,Male,59,Yes,3.72,39,3.47,Lower
Prof62,Male,56,No,4.19,48,4.38,Upper
Prof51,Female,58,No,3.41,69,2.85,Upper
Prof55,Male,51,Yes,3.29,75,3.28,Upper
Prof64,Male,31,Yes,4.9,65,3.37,Upper
Prof3,Male,47,No,4.62,65,4.23,Upper
Prof51,Female,51,Yes,4.14,60,3.66,Lower
Prof7,Male,34,Yes,3.68,47,3.42,Lower
Prof21,Female,56,Yes,4.13,96,3.05,Upper
Prof73,Female,59,Yes,3.83,63,3.82,Lower
Prof39,Male,39,Yes,4.15,79,3.96,Upper
Prof18,Male,58,Yes,3.34,96,4.0,Lower
Prof4,Male,45,Yes,3.23,55,4.44,Lower
Prof89,Male,49,No,3.37,92,4.4,Upper
Prof60,Female,33,Yes,4.47,54,3.96,Upper
Prof14,Female,58,Yes,4.21,41,2.97,Lower
Prof9,Male,55,Yes,4.17,68,3.24,Lower
Prof90,Female,42,Yes,3.28,35,3.12,Lower
Prof53,Female,46,Yes,3.94,74,3.02,Upper
Prof2,Female,47,Yes,4.87,58,4.46,Lower
Prof84,Female,44,Yes,3.89,67,3.62,Upper
Prof92,Male,42,Yes,4.46,33,2.68,Lower
Prof60,Male,51,Yes,4.98,39,3.09,Upper
Prof71,Male,45,Yes,3.24,72,4.18,Lower
Prof44,Female,58,Yes,3.68,41,3.9,Upper
